frame,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
3325,0.02009084,2.48,4.493366,0,0.002939931,0,0.9999957
3326,0.02009084,2.48,4.493366,0,0.002939931,0,0.9999957
3327,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3328,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3329,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3330,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3331,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3332,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3333,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3334,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3335,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3336,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3337,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3338,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3339,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3340,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3341,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3342,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3343,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3344,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3345,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3346,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3347,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3348,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3349,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3350,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3351,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3352,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3353,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3354,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3355,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3356,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3357,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3358,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3359,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3360,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3361,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3362,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3363,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3364,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3365,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3366,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3367,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3368,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3369,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3370,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3371,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3372,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3373,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3374,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3375,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3376,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3377,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3378,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3379,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3380,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3381,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3382,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3383,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3384,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3385,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3386,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3387,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3388,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3389,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3390,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3391,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3392,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3393,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3394,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3395,0.02009084,2.48,4.493366,0,0.00284893,0,0.9999959
3396,0.02009084,2.48,4.493366,0,0.00274596,0,0.9999962
3397,0.02009084,2.48,4.493366,0,0.00274596,0,0.9999962
3398,0.02009084,2.48,4.493366,0,0.00274596,0,0.9999962
3399,0.02009084,2.48,4.493366,0,0.00274596,0,0.9999962
3400,0.02009084,2.48,4.493366,0,0.002392703,0,0.9999971
3401,0.02009084,2.48,4.493366,0,0.002392703,0,0.9999971
3402,0.02009084,2.48,4.493366,0,0.002392703,0,0.9999971
3403,0.02009084,2.48,4.493366,0,0.002090495,0,0.9999979
3404,0.02009084,2.48,4.493366,0,0.002090495,0,0.9999979
3405,0.02009084,2.48,4.493366,0,0.002090495,0,0.9999979
3406,0.02009084,2.48,4.493366,0,0.002090495,0,0.9999979
3407,0.02009084,2.48,4.493366,0,0.00167242,0,0.9999987
3408,0.02009084,2.48,4.493366,0,0.00167242,0,0.9999987
3409,0.02009084,2.48,4.493366,0,0.00167242,0,0.9999987
3410,0.02009084,2.48,4.493366,0,0.001083241,0,0.9999994
3411,0.02009084,2.48,4.493366,0,0.001083241,0,0.9999994
3412,0.02009084,2.48,4.493366,0,0.001083241,0,0.9999994
3413,0.02009084,2.48,4.493366,0,0.001083241,0,0.9999994
3414,0.02009084,2.48,4.493366,0,0.0001380406,0,1
3415,0.02009084,2.48,4.493366,0,0.0001380406,0,1
3416,0.02009084,2.48,4.493366,0,0.0001380406,0,1
3417,0.02009084,2.48,4.493366,0,-0.0009184942,0,0.9999996
3418,0.02009084,2.48,4.493366,0,-0.0009184942,0,0.9999996
3419,0.02009084,2.48,4.493366,0,-0.0009184942,0,0.9999996
3420,0.02009084,2.48,4.493366,0,-0.002020145,0,0.999998
3421,0.02009084,2.48,4.493366,0,-0.002020145,0,0.999998
3422,0.02009084,2.48,4.493366,0,-0.002020145,0,0.999998
3423,0.02009084,2.48,4.493366,0,-0.002020145,0,0.999998
3424,0.02009084,2.48,4.493366,0,-0.002826485,0,0.9999961
3425,0.02009084,2.48,4.493366,0,-0.002826485,0,0.9999961
3426,0.02009084,2.48,4.493366,0,-0.005170617,0,0.9999867
3427,0.02009084,2.48,4.493366,0,-0.005170617,0,0.9999867
3428,0.02009084,2.48,4.493366,0,-0.005170617,0,0.9999867
3429,0.02009084,2.48,4.493366,0,-0.005170617,0,0.9999867
3430,0.02009084,2.48,4.493366,0,-0.006244937,0,0.9999806
3431,0.02009084,2.48,4.493366,0,-0.006244937,0,0.9999806
3432,0.02009084,2.48,4.493366,0,-0.006244937,0,0.9999806
3433,0.02009084,2.48,4.493366,0,-0.007345384,0,0.999973
3434,0.02009084,2.48,4.493366,0,-0.007345385,0,0.9999731
3435,0.02009084,2.48,4.493366,0,-0.007345385,0,0.9999731
3436,0.02009084,2.48,4.493366,0,-0.007345385,0,0.9999731
3437,0.02009084,2.48,4.493366,0,-0.008157951,0,0.9999667
3438,0.02009084,2.48,4.493366,0,-0.008157951,0,0.9999667
3439,0.02009084,2.48,4.493366,0,-0.008157951,0,0.9999667
3440,0.02009084,2.48,4.493366,0,-0.008789728,0,0.9999614
3441,0.02009084,2.48,4.493366,0,-0.008789728,0,0.9999614
3442,0.02003698,2.48,4.496189,0,-0.009540415,0,0.9999545
3443,0.01999547,2.48,4.498363,0,-0.009540415,0,0.9999545
3444,0.01995196,2.48,4.500644,0,-0.009540415,0,0.9999545
3445,0.0198971,2.48,4.503519,0,-0.009540415,0,0.9999545
3446,0.01981525,2.48,4.507608,0,-0.01000507,0,0.99995
3447,0.01973232,2.48,4.511752,0,-0.01000507,0,0.99995
3448,0.01964199,2.48,4.516266,0,-0.01000507,0,0.99995
3449,0.01954651,2.48,4.521036,0,-0.01000507,0,0.99995
3450,0.0194382,2.48,4.526448,0,-0.01000507,0,0.99995
3451,0.01931662,2.48,4.532524,0,-0.01000507,0,0.99995
3452,0.01918126,2.48,4.539287,0,-0.01000507,0,0.99995
3453,0.01902798,2.48,4.546864,0,-0.0101133,0,0.9999489
3454,0.01886911,2.48,4.554718,0,-0.0101133,0,0.9999489
3455,0.01869571,2.48,4.563289,0,-0.0101133,0,0.9999489
3456,0.018504,2.48,4.572664,0,-0.01022274,0,0.9999478
3457,0.01832358,2.48,4.581487,0,-0.01022274,0,0.9999478
3458,0.01813199,2.48,4.590856,0,-0.01022274,0,0.9999478
3459,0.01794168,2.48,4.600163,0,-0.01022274,0,0.9999478
3460,0.01772916,2.48,4.610556,0,-0.01022274,0,0.9999478
3461,0.01750798,2.48,4.621372,0,-0.01022274,0,0.9999478
3462,0.01728293,2.48,4.632378,0,-0.01022274,0,0.9999478
3463,0.01699593,2.48,4.646256,0,-0.01033855,0,0.9999466
3464,0.016734,2.48,4.658921,0,-0.01033855,0,0.9999466
3465,0.01644416,2.48,4.672936,0,-0.01033855,0,0.9999466
3466,0.01616784,2.48,4.686298,0,-0.01033855,0,0.9999466
3467,0.01585007,2.48,4.701664,0,-0.01033855,0,0.9999466
3468,0.0155206,2.48,4.717596,0,-0.01033855,0,0.9999466
3469,0.01521658,2.48,4.732296,0,-0.01033855,0,0.9999466
3470,0.01489343,2.48,4.747922,0,-0.01033855,0,0.9999466
3471,0.0145514,2.48,4.764461,0,-0.01033855,0,0.9999466
3472,0.01422409,2.48,4.780288,0,-0.01033855,0,0.9999466
3473,0.01383733,2.48,4.79899,0,-0.01033855,0,0.9999466
3474,0.01347621,2.48,4.816452,0,-0.01033855,0,0.9999466
3475,0.01307533,2.48,4.835836,0,-0.01033855,0,0.9999466
3476,0.01268718,2.48,4.854605,0,-0.01033855,0,0.9999466
3477,0.01231053,2.48,4.872818,0,-0.01033855,0,0.9999466
3478,0.01190824,2.48,4.892271,0,-0.01033855,0,0.9999466
3479,0.01150114,2.48,4.911956,0,-0.01033855,0,0.9999466
3480,0.01099211,2.48,4.93657,0,-0.01033855,0,0.9999466
3481,0.01054704,2.48,4.958092,0,-0.01033855,0,0.9999466
3482,0.01009434,2.48,4.979981,0,-0.01033855,0,0.9999466
3483,0.009596386,2.48,5.00406,0,-0.01033855,0,0.9999466
3484,0.009136732,2.48,5.026287,0,-0.01033855,0,0.9999466
3485,0.008684237,2.48,5.048167,0,-0.01033855,0,0.9999466
3486,0.008186509,2.48,5.072235,0,-0.01033855,0,0.9999466
3487,0.007584573,2.48,5.100692,0,-0.01057459,0,0.9999442
3488,0.007038158,2.48,5.126523,0,-0.01057459,0,0.9999442
3489,0.006524971,2.48,5.150784,0,-0.01057459,0,0.9999442
3490,0.005990636,2.48,5.176045,0,-0.01057459,0,0.9999442
3491,0.005456706,2.48,5.201287,0,-0.01057459,0,0.9999442
